Городовиковск;46.0875351;41.9354039;Калмыкия
Лагань;45.3929617;47.3432943;Калмыкия
Элиста;46.3082947;44.2701417;Калмыкия
Балабаново;55.1773652;36.6567255;Калужская область
Белоусово;55.0957679;36.6777239;Калужская область
Боровск;55.2130965;36.4927446;Калужская область
Ермолино;55.1972714;36.5951966;Калужская область
Жиздра;53.7522384;34.7386719;Калужская область
Жуков;55.0301386;36.7393279;Калужская область
Калуга;54.5060439;36.2515933;Калужская область
Киров;54.0790823;34.3077508;Калужская область
Козельск;54.0348417;35.7807136;Калужская область
Кондрово;54.796051;35.9276099;Калужская область
Кременки;54.8863306;37.116878;Калужская область
Людиново;53.8701406;34.4385498;Калужская область
Малоярославец;55.0176756;36.4632122;Калужская область
Медынь;54.9690755;35.887313;Калужская область
Мещовск;54.3191127;35.2816065;Калужская область
Мосальск;54.4825589;34.987206;Калужская область
Обнинск;55.0943892;36.6121785;Калужская область
Сосенский;54.056525;35.9621458;Калужская область
Спас-Деменск;54.4099201;34.0190263;Калужская область
Сухиничи;54.0973787;35.3443077;Калужская область
Таруса;54.7236791;37.1670866;Калужская область
Юхнов;54.7445873;35.2424857;Калужская область
Вилючинск;52.930428;158.4057276;Камчатский край
Елизово;53.1829573;158.3882833;Камчатский край
Петропавловск-Камчатский;53.0370213;158.6559142;Камчатский край
Карачаевск;43.773197;41.9143726;Карачаево-Черкесская
Теберда;43.4438408;41.7414924;Карачаево-Черкесская
Усть-Джегута;44.083852;41.971128;Карачаево-Черкесская
Черкесск;44.2268637;42.0467829;Карачаево-Черкесская
Беломорск;64.5378468;34.7799717;Карелия
Кемь;64.9543657;34.5948547;Карелия
Кондопога;62.2059866;34.2681778;Карелия
Костомукша;64.5889946;30.6015567;Карелия
Лахденпохья;61.5189466;30.199592;Карелия
Медвежьегорск;62.9127678;34.4567614;Карелия
Олонец;60.9793604;32.9726031;Карелия
Петрозаводск;61.78909;34.3596263;Карелия
Питкяранта;61.5756886;31.4641309;Карелия
Пудож;61.8059147;36.5330088;Карелия
Сегежа;63.7437211;34.3126755;Карелия
Сортавала;61.7032216;30.6917021;Карелия
Суоярви;62.0787769;32.3499029;Карелия
Анжеро-Судженск;56.0787179;86.0202207;Кемеровская область
Белово;54.4221442;86.3036438;Кемеровская область
Березовский;55.6692853;86.2744636;Кемеровская область
Гурьевск;54.2860005;85.947723;Кемеровская область
Калтан;53.5210461;87.2772143;Кемеровская область
Кемерово;55.3909721;86.0467864;Кемеровская область
Киселевск;54.0060382;86.6367387;Кемеровская область
Ленинск-Кузнецкий;54.6674092;86.1796724;Кемеровская область
Мариинск;56.2127836;87.7454392;Кемеровская область
Междуреченск;53.6865695;88.0703888;Кемеровская область
Мыски;53.7125516;87.8056657;Кемеровская область
Новокузнецк;53.7942757;87.2144046;Кемеровская область
Осинники;53.5987397;87.3369948;Кемеровская область
Полысаево;54.6053968;86.2808803;Кемеровская область
Прокопьевск;53.8604562;86.7183428;Кемеровская область
Салаир;54.2351588;85.8029215;Кемеровская область
Тайга;56.0622767;85.6207907;Кемеровская область
Таштагол;52.7594505;87.8477272;Кемеровская область
Топки;55.2766036;85.6153223;Кемеровская область
Юрга;55.7202689;84.8885516;Кемеровская область
Воркута;67.4973484;64.0611045;Коми
Вуктыл;63.8615209;57.3165207;Коми
Емва;62.5965314;50.8731889;Коми
Инта;66.0368196;60.1154612;Коми
Микунь;62.3580188;50.0719738;Коми
Печора;65.1485717;57.22388;Коми
Сосногорск;63.5990137;53.8762792;Коми
Сыктывкар;61.668789;50.8356491;Коми
Усинск;65.9941116;57.5570054;Коми
Ухта;63.5564779;53.7014202;Коми
Буй;58.473445;41.5306746;Костромская область
Волгореченск;57.4423712;41.1593076;Костромская область
Галич;58.3826861;42.3654563;Костромская область
Кологрив;58.826988;44.3185323;Костромская область
Кострома;57.8029445;40.9907282;Костромская область
Макарьев;57.8808916;43.8014428;Костромская область
Мантурово;58.3264667;44.7575036;Костромская область
Нерехта;57.4543706;40.5725438;Костромская область
Нея;58.2944499;43.8780965;Костромская область
Солигалич;59.0786729;42.2877245;Костромская область
Чухлома;58.7534246;42.6883783;Костромская область
Шарья;58.3761832;45.4060762;Костромская область
Абинск;44.8679931;38.1618437;Краснодарский край
Анапа;44.8950777;37.3163142;Краснодарский край
Апшеронск;44.4585239;39.7300092;Краснодарский край
Армавир;45.0010338;41.132392;Краснодарский край
Белореченск;44.7652733;39.8780457;Краснодарский край
Геленджик;44.5631053;38.0790184;Краснодарский край
Горячий Ключ;44.6343251;39.1356421;Краснодарский край
Гулькевичи;45.3605769;40.6918484;Краснодарский край
Ейск;46.7114611;38.2764915;Краснодарский край
Кореновск;45.4640868;39.4590178;Краснодарский край
Краснодар;45.040235;38.9760801;Краснодарский край
Кропоткин;45.4332464;40.5727852;Краснодарский край
Крымск;44.9344108;37.9855314;Краснодарский край
Курганинск;44.8876442;40.5913858;Краснодарский край
Лабинск;44.6353153;40.724385;Краснодарский край
Новокубанск;45.1038782;41.0473679;Краснодарский край
Новороссийск;44.7234264;37.7687218;Краснодарский край
Приморско-Ахтарск;46.0515;38.1704654;Краснодарский край
Славянск-на-Кубани;45.2605079;38.1260725;Краснодарский край
Сочи;43.5855829;39.7231419;Краснодарский край
Темрюк;45.2611082;37.445519;Краснодарский край
Тимашевск;45.6159358;38.9350513;Краснодарский край
Тихорецк;45.8546953;40.1258702;Краснодарский край
Туапсе;44.1103707;39.082645;Краснодарский край
Усть-Лабинск;45.222676;39.6930239;Краснодарский край
Хадыженск;44.412303;39.5319151;Краснодарский край
Артемовск;54.3472901;93.4356543;Красноярский край
Ачинск;56.2538662;90.47949;Красноярский край
Боготол;56.209881;89.5300182;Красноярский край
Бородино;55.9054308;94.9021138;Красноярский край
Дивногорск;55.9577868;92.380085;Красноярский край
Дудинка;69.4031339;86.1908135;Красноярский край
Енисейск;58.4485234;92.165237;Красноярский край
Железногорск;56.2529346;93.532167;Красноярский край
Заозерный;55.9617268;94.7091037;Красноярский край
Зеленогорск;56.1133001;94.5888736;Красноярский край
Игарка;67.4667947;86.5814287;Красноярский край
Иланский;56.2374163;96.0672656;Красноярский край
Канск;56.2049776;95.7051246;Красноярский край
Кодинск;58.6033961;99.1797563;Красноярский край
Красноярск;56.009466;92.8524162;Красноярский край
Лесосибирск;58.2218201;92.5036986;Красноярский край
Минусинск;53.7105509;91.6871866;Красноярский край
Назарово;56.0113176;90.4167947;Красноярский край
Норильск;69.3490828;88.2009965;Красноярский край
Сосновоборск;56.1202088;93.3353411;Красноярский край
Ужур;55.3141977;89.8333827;Красноярский край
Уяр;55.8131698;94.3282148;Красноярский край
Шарыпово;55.5389684;89.1801557;Красноярский край
Ялта;44.416366;34.04455;Крым
Алушта;44.6764419;34.4100387;Крым
Армянск;46.1059247;33.6910325;Крым
Бахчисарай;44.751388;33.8750341;Крым
Белогорск;45.0571581;34.5998775;Крым
Джанкой;45.7092436;34.388332;Крым
Евпатория;45.1904322;33.3667685;Крым
Керчь;45.3561128;36.4674285;Крым
Красноперекопск;45.9537956;33.7921523;Крым
Саки;45.1342889;33.6032508;Крым
Симферополь;44.9482645;34.100117;Крым
Старый Крым;45.0290659;35.0900885;Крым
Судак;44.8505913;34.9761591;Крым
Феодосия;45.031878;35.3824772;Крым
Щелкино;45.4289847;35.8251329;Крым
Далматово;56.2621393;62.9387378;Курганская область
Катайск;56.2908118;62.5800669;Курганская область
Курган;55.4443448;65.3161339;Курганская область
Куртамыш;54.9368491;64.4203009;Курганская область
Макушино;55.2154025;67.2452558;Курганская область
Петухово;55.0649932;67.8874369;Курганская область
Шадринск;56.0870152;63.6298234;Курганская область
Шумиха;55.2281833;63.2902391;Курганская область
Щучье;55.20883;62.7478475;Курганская область
Бокситогорск;59.4735032;33.8456521;Ленинградская область
Волосово;59.4445107;29.492277;Ленинградская область
Волхов;59.9006057;32.35212;Ленинградская область
Всеволожск;60.0190094;30.6455834;Ленинградская область
Выборг;60.7130748;28.7328813;Ленинградская область
Высоцк;60.6296511;28.5709914;Ленинградская область
Гатчина;59.5650861;30.1281859;Ленинградская область
Ивангород;59.3765845;28.2230504;Ленинградская область
Каменногорск;60.9508768;29.1308061;Ленинградская область
Кингисепп;59.3739407;28.6112981;Ленинградская область
Кириши;59.4742626;32.0625536;Ленинградская область
Кировск;59.875371;30.9815205;Ленинградская область
Коммунар;59.6215929;30.393466;Ленинградская область
Лодейное Поле;60.7320564;33.5522225;Ленинградская область
Луга;58.7373818;29.8466657;Ленинградская область
Любань;59.3492573;31.2485276;Ленинградская область
Никольское;59.7042633;30.7874879;Ленинградская область
Новая Ладога;60.1100013;32.3141446;Ленинградская область
Отрадное;59.772596;30.7988403;Ленинградская область
Пикалево;59.5130655;34.1773982;Ленинградская область
Подпорожье;60.9127463;34.1567832;Ленинградская область
Приморск;60.3660787;28.6135962;Ленинградская область
Приозерск;61.03313;30.15876;Ленинградская область
Светогорск;61.1112679;28.8726666;Ленинградская область
Сертолово;60.14458;30.2094595;Ленинградская область
Сланцы;59.1178693;28.088106;Ленинградская область
Сосновый Бор;59.8772921;29.1290866;Ленинградская область
Сясьстрой;60.1402454;32.5602015;Ленинградская область
Тихвин;59.6273809;33.5072307;Ленинградская область
Тосно;59.5406697;30.8777872;Ленинградская область
Шлиссельбург;59.9443923;31.0334136;Ленинградская область
Грязи;52.4873931;39.9331785;Липецкая область
Данков;53.25769;39.1457625;Липецкая область
Елец;52.6151738;38.5289121;Липецкая область
Задонск;52.4004611;38.9205772;Липецкая область
Лебедянь;53.0156678;39.143498;Липецкая область
